model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
EpiSIG-Net-V3,japan,20,2,none,5,True,20260203_010408,336.9924011230469,306.27520751953125,993.146735130313,714.0323486328125,0.8921024799346924,0.9090296030044556,0.051468189805746,0.7657620310783386,0.7864182591438293,0.7659835815429688,0.7896279096603394,972.3363037109376
EpiSIG-Net-V3,japan,20,2,none,10,True,20260203_010826,296.3579406738281,275.2013854980469,967.7088275922672,696.426513671875,0.908312201499939,0.9223800897598268,0.0120210945606231,0.7776076793670654,0.7938194274902344,0.7801331281661987,0.8005837202072144,983.5780639648438
EpiSIG-Net-V3,japan,20,2,none,20,True,20260203_011148,268.31201171875,237.1847686767578,878.192283899147,641.6475830078125,0.9244005680084229,0.9312573075294496,0.0220978148281574,0.8168488144874573,0.82068932056427,0.8198714852333069,0.8283857107162476,891.6658935546875
EpiSIG-Net-V3,japan,20,2,none,30,True,20260203_011731,269.64996337890625,233.87646484375,873.633289773232,636.2523803710938,0.9234884977340698,0.931050419807434,0.0290275588631629,0.818745493888855,0.8220955729484558,0.8209716081619263,0.8286076784133911,888.6715698242188
EpiSIG-Net-V3,japan,20,2,none,42,True,20260204_104846,281.1843566894531,256.5853271484375,938.2499666933114,673.8878173828125,0.9156657457351683,0.9290726184844972,0.0240039024502038,0.790941596031189,0.8074560165405273,0.7935692667961121,0.8139276504516602,912.2646484375
EpiSIG-Net-V3,japan,20,2,none,45,True,20260203_012429,277.23785400390625,255.14776611328125,931.2130529583442,672.5099487304688,0.9151003360748292,0.9275079369544984,0.0164512004703283,0.7940657734870911,0.808208167552948,0.796919584274292,0.8152185678482056,920.7631225585938
EpiSIG-Net-V3,japan,20,2,none,100,True,20260203_012628,306.3544616699219,274.081298828125,957.8253363740176,687.5208740234375,0.912723183631897,0.9251579642295836,0.0348940975964069,0.7821271419525146,0.7961223721504211,0.7847522497177124,0.8036066293716431,957.7618408203124
EpiSIG-Net-V3,japan,20,2,none,123,True,20260203_012930,279.8222045898437,270.3960876464844,923.907598193672,659.188720703125,0.9042277932167052,0.920058250427246,0.0028863856568932,0.7972842454910278,0.8176630735397339,0.7983756065368652,0.8211696743965149,935.2215576171876
EpiSIG-Net-V3,japan,20,2,none,500,True,20260203_013156,282.6835327148437,268.1740417480469,918.753673462044,651.7085571289062,0.9093142747879028,0.9255674481391908,0.0222329068928957,0.7995395660400391,0.8194227814674377,0.8022637367248535,0.8262175917625427,939.169677734375
EpiSIG-Net-V3,japan,20,2,none,1000,True,20260203_013612,299.5996398925781,276.5560302734375,945.8882399628404,675.3343505859375,0.9073327779769896,0.9250338673591614,0.0345266722142696,0.7875238656997681,0.8088117837905884,0.788536548614502,0.8128911852836609,936.664306640625
EpiSIG-Net-V3,japan,20,3,no_agam,1,True,20260204_211326,384.0805358886719,353.53204345703125,1130.6706527543731,816.55078125,0.8755521774291992,0.8894777297973633,0.0301930028945207,0.6963993310928345,0.7151117324829102,0.7006255984306335,0.7260259389877319,1181.687255859375
MSTAGAT-Net,japan,20,3,no_agam,5,False,20260127_054020,311.352783203125,294.4417724609375,986.4572659269128,705.3297729492188,0.8876667022705078,0.9074415564537048,0.019655143842101,0.7689068913459778,0.7959390878677368,0.7701274752616882,0.7998267412185669,1022.4390869140624
MSTAGAT-Net,japan,20,3,no_agam,5,True,20260209_075943,531.2412719726562,479.6327819824219,1354.136209913907,968.6477661132812,0.8603807687759399,0.8743546605110168,0.0682720765471458,0.6937534809112549,0.7086989283561707,0.7036751508712769,0.7323415279388428,1193.1744384765625
MSTAGAT-Net,japan,20,3,no_agam,42,True,20260209_101430,571.0767211914062,535.6414794921875,1474.156708087712,1067.797607421875,0.8103137016296387,0.8208678364753723,0.0189299695193767,0.6370608806610107,0.6429564952850342,0.6391762495040894,0.6510180234909058,1330.7548828125
EpiSIG-Net-V3,japan,20,3,no_mtfm,1,True,20260204_211803,384.0805358886719,353.53204345703125,1130.6706527543731,816.55078125,0.8755521774291992,0.8894777297973633,0.0301930028945207,0.6963993310928345,0.7151117324829102,0.7006255984306335,0.7260259389877319,1181.687255859375
MSTAGAT-Net,japan,20,3,no_mtfm,5,False,20260127_054129,340.7224426269531,326.9690246582031,1059.353399484799,749.23046875,0.8612978458404541,0.8890570998191833,0.0194664821028709,0.7334908246994019,0.773804783821106,0.7339537143707275,0.7766519784927368,1105.68505859375
MSTAGAT-Net,japan,20,3,no_mtfm,5,True,20260209_080104,524.2421875,500.6588134765625,1372.0542992170535,980.83935546875,0.8649070262908936,0.8832588195800781,0.0259235892444849,0.6855952739715576,0.706811785697937,0.6918401718139648,0.7214925289154053,1204.4385986328125
MSTAGAT-Net,japan,20,3,no_mtfm,42,True,20260209_101526,475.6096496582031,447.9019775390625,1366.5798092317916,969.4168090820312,0.8409011960029602,0.861200749874115,0.0409869216382503,0.6880992650985718,0.7141016721725464,0.6914952993392944,0.7235119342803955,1168.8031005859375
